split,class,filename,binary_label
train,genuine,00000.jpg,genuine
train,tampered_text,00000.jpg,tampered
train,tampered_photo,00000.jpg,tampered
train,tampered_stamp,00000.jpg,tampered
train,genuine,00001.jpg,genuine
train,tampered_text,00001.jpg,tampered
train,tampered_photo,00001.jpg,tampered
train,tampered_stamp,00001.jpg,tampered
train,genuine,00002.jpg,genuine
train,tampered_text,00002.jpg,tampered
train,tampered_photo,00002.jpg,tampered
train,tampered_stamp,00002.jpg,tampered
train,genuine,00003.jpg,genuine
train,tampered_text,00003.jpg,tampered
train,tampered_photo,00003.jpg,tampered
train,tampered_stamp,00003.jpg,tampered
train,genuine,00004.jpg,genuine
train,tampered_text,00004.jpg,tampered
train,tampered_photo,00004.jpg,tampered
train,tampered_stamp,00004.jpg,tampered
train,genuine,00005.jpg,genuine
train,tampered_text,00005.jpg,tampered
train,tampered_photo,00005.jpg,tampered
train,tampered_stamp,00005.jpg,tampered
train,genuine,00006.jpg,genuine
train,tampered_text,00006.jpg,tampered
train,tampered_photo,00006.jpg,tampered
train,tampered_stamp,00006.jpg,tampered
train,genuine,00007.jpg,genuine
train,tampered_text,00007.jpg,tampered
train,tampered_photo,00007.jpg,tampered
train,tampered_stamp,00007.jpg,tampered
train,genuine,00008.jpg,genuine
train,tampered_text,00008.jpg,tampered
train,tampered_photo,00008.jpg,tampered
train,tampered_stamp,00008.jpg,tampered
train,genuine,00009.jpg,genuine
train,tampered_text,00009.jpg,tampered
train,tampered_photo,00009.jpg,tampered
train,tampered_stamp,00009.jpg,tampered
train,genuine,00010.jpg,genuine
train,tampered_text,00010.jpg,tampered
train,tampered_photo,00010.jpg,tampered
train,tampered_stamp,00010.jpg,tampered
train,genuine,00011.jpg,genuine
train,tampered_text,00011.jpg,tampered
train,tampered_photo,00011.jpg,tampered
train,tampered_stamp,00011.jpg,tampered
train,genuine,00012.jpg,genuine
train,tampered_text,00012.jpg,tampered
train,tampered_photo,00012.jpg,tampered
train,tampered_stamp,00012.jpg,tampered
train,genuine,00013.jpg,genuine
train,tampered_text,00013.jpg,tampered
train,tampered_photo,00013.jpg,tampered
train,tampered_stamp,00013.jpg,tampered
train,genuine,00014.jpg,genuine
train,tampered_text,00014.jpg,tampered
train,tampered_photo,00014.jpg,tampered
train,tampered_stamp,00014.jpg,tampered
train,genuine,00015.jpg,genuine
train,tampered_text,00015.jpg,tampered
train,tampered_photo,00015.jpg,tampered
train,tampered_stamp,00015.jpg,tampered
train,genuine,00016.jpg,genuine
train,tampered_text,00016.jpg,tampered
train,tampered_photo,00016.jpg,tampered
train,tampered_stamp,00016.jpg,tampered
train,genuine,00017.jpg,genuine
train,tampered_text,00017.jpg,tampered
train,tampered_photo,00017.jpg,tampered
train,tampered_stamp,00017.jpg,tampered
train,genuine,00018.jpg,genuine
train,tampered_text,00018.jpg,tampered
train,tampered_photo,00018.jpg,tampered
train,tampered_stamp,00018.jpg,tampered
train,genuine,00019.jpg,genuine
train,tampered_text,00019.jpg,tampered
train,tampered_photo,00019.jpg,tampered
train,tampered_stamp,00019.jpg,tampered
train,genuine,00020.jpg,genuine
train,tampered_text,00020.jpg,tampered
train,tampered_photo,00020.jpg,tampered
train,tampered_stamp,00020.jpg,tampered
train,genuine,00021.jpg,genuine
train,tampered_text,00021.jpg,tampered
train,tampered_photo,00021.jpg,tampered
train,tampered_stamp,00021.jpg,tampered
train,genuine,00022.jpg,genuine
train,tampered_text,00022.jpg,tampered
train,tampered_photo,00022.jpg,tampered
train,tampered_stamp,00022.jpg,tampered
train,genuine,00023.jpg,genuine
train,tampered_text,00023.jpg,tampered
train,tampered_photo,00023.jpg,tampered
train,tampered_stamp,00023.jpg,tampered
train,genuine,00024.jpg,genuine
train,tampered_text,00024.jpg,tampered
train,tampered_photo,00024.jpg,tampered
train,tampered_stamp,00024.jpg,tampered
train,genuine,00025.jpg,genuine
train,tampered_text,00025.jpg,tampered
train,tampered_photo,00025.jpg,tampered
train,tampered_stamp,00025.jpg,tampered
train,genuine,00026.jpg,genuine
train,tampered_text,00026.jpg,tampered
train,tampered_photo,00026.jpg,tampered
train,tampered_stamp,00026.jpg,tampered
train,genuine,00027.jpg,genuine
train,tampered_text,00027.jpg,tampered
train,tampered_photo,00027.jpg,tampered
train,tampered_stamp,00027.jpg,tampered
train,genuine,00028.jpg,genuine
train,tampered_text,00028.jpg,tampered
train,tampered_photo,00028.jpg,tampered
train,tampered_stamp,00028.jpg,tampered
train,genuine,00029.jpg,genuine
train,tampered_text,00029.jpg,tampered
train,tampered_photo,00029.jpg,tampered
train,tampered_stamp,00029.jpg,tampered
train,genuine,00030.jpg,genuine
train,tampered_text,00030.jpg,tampered
train,tampered_photo,00030.jpg,tampered
train,tampered_stamp,00030.jpg,tampered
train,genuine,00031.jpg,genuine
train,tampered_text,00031.jpg,tampered
train,tampered_photo,00031.jpg,tampered
train,tampered_stamp,00031.jpg,tampered
train,genuine,00032.jpg,genuine
train,tampered_text,00032.jpg,tampered
train,tampered_photo,00032.jpg,tampered
train,tampered_stamp,00032.jpg,tampered
train,genuine,00033.jpg,genuine
train,tampered_text,00033.jpg,tampered
train,tampered_photo,00033.jpg,tampered
train,tampered_stamp,00033.jpg,tampered
train,genuine,00034.jpg,genuine
train,tampered_text,00034.jpg,tampered
train,tampered_photo,00034.jpg,tampered
train,tampered_stamp,00034.jpg,tampered
train,genuine,00035.jpg,genuine
train,tampered_text,00035.jpg,tampered
train,tampered_photo,00035.jpg,tampered
train,tampered_stamp,00035.jpg,tampered
train,genuine,00036.jpg,genuine
train,tampered_text,00036.jpg,tampered
train,tampered_photo,00036.jpg,tampered
train,tampered_stamp,00036.jpg,tampered
train,genuine,00037.jpg,genuine
train,tampered_text,00037.jpg,tampered
train,tampered_photo,00037.jpg,tampered
train,tampered_stamp,00037.jpg,tampered
train,genuine,00038.jpg,genuine
train,tampered_text,00038.jpg,tampered
train,tampered_photo,00038.jpg,tampered
train,tampered_stamp,00038.jpg,tampered
train,genuine,00039.jpg,genuine
train,tampered_text,00039.jpg,tampered
train,tampered_photo,00039.jpg,tampered
train,tampered_stamp,00039.jpg,tampered
train,genuine,00040.jpg,genuine
train,tampered_text,00040.jpg,tampered
train,tampered_photo,00040.jpg,tampered
train,tampered_stamp,00040.jpg,tampered
train,genuine,00041.jpg,genuine
train,tampered_text,00041.jpg,tampered
train,tampered_photo,00041.jpg,tampered
train,tampered_stamp,00041.jpg,tampered
